Feature ID	Taxon	Consensus
03bad53c0b6c540adb8f1203c5788c1d	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__Allosphingosinicella sp013816585	1.0
03c3a6cc0864e9319a80c3e3549ab1b2	Unassigned	1.0
03c5fe36b4f16099094e8e7e9fa29044	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__RBG-16-66-30 sp012516875	1.0
03c7f443821802ca5b8d8e722f25913d	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__Arenimonas oryziterrae	1.0
03ce7dd30e692754d36b1a8c19b1192a	Unassigned	1.0
03cf7e925ba0bbde01c2daf69cf93665	Unassigned	1.0
03e0cf044cfc12bba80b0c48677bca7f	Unassigned	1.0
03e3001e66737472d7e376f4a610ea90	Unassigned	1.0
03e9d03a22532e3e35b248869cb3acef	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__12-FULL-67-14b;s__12-FULL-67-14b sp016871275	1.0
03ecdcb406606410e34c988472bf0961	Unassigned	1.0
03f75a58894330c9134467d3cfffbe24	Unassigned	1.0
0407bd75696eba0074a52f4e6cef5f28	Unassigned	1.0
040803daa9314e02b35bdf46d3b56a2f	Unassigned	1.0
040876c284e47c97ca92e24b79975f32	Unassigned	1.0
0420d176fc5451318ae6bd088560c8fb	Unassigned	1.0
042dcedd38b99b5b2e4c9fcf9478f892	Unassigned	1.0
043556ca744ead95e6ca725cf26586d5	Unassigned	1.0
044a3f0704950acfff2fb8170006bcff	Unassigned	1.0
044ad2c57d111e33a57149a62eaf163d	Unassigned	1.0
04683efda2936308b79b6ab59985033c	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__PSRF01 sp013817595	1.0
04758ba7bb6dcb6a285f658c55ba5423	Unassigned	1.0
04889657fe02b91cfd5c70a84d70b5ce	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__WHTF01;s__WHTF01 sp009379725	1.0
049be36f11fee0d85575b49dd1814a64	Unassigned	1.0
04a640799675ec630444fa303d4149d9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Luteolibacter;s__Luteolibacter yonseiensis	1.0
04bff5d07ad45a175094cbe213c1fafc	Unassigned	1.0
04c8994b2f256cff36ee4279d09087d4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella	1.0
04cb3930e920ca1ce442486f0a278f95	Unassigned	1.0
05159f00d4dfa93c1d6ce351caa833c2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus_C;s__Microlunatus_C panaciterrae	1.0
052f7e83e35c7764680bdb83737b2c67	Unassigned	1.0
0533a024c46c302aa04f6c5e8887f86b	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__Thiobacillus denitrificans_B	1.0
05356fce7507c23414315b7bb84cd36b	Unassigned	1.0
0543d7580d6a12b29af47135d41e1e27	Unassigned	1.0
05448a667fab7f890ced60d363c8abeb	Unassigned	1.0
054a7c1b3de59268b8b6eba43b66ebf6	Unassigned	1.0
054b58faa1986b05e5a7e8817a461e25	Unassigned	1.0
0553bdd9a0e18053b36520fa6efa669b	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niastella;s__Niastella sp004341975	1.0
0558911611f6c2766bf427f33a16a8d1	Unassigned	1.0
055b33424219de0d3a9209279d7d06fb	Unassigned	1.0
056197f11ec9b6d2c59ceff448d46849	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JADJOM01;s__JADJOM01 sp016713435	1.0
